Gender,Age,Category,Item Purchased,Size,Color,Season,Location,Subscription Status,Payment Method,Shipping Type,Preferred Payment Method,Previous Purchases,Review Rating,Frequency of Purchases
1,20,4,10,2,19,1,27,2,6,1,1,15,4,2
1,25,2,15,3,21,2,26,2,1,3,1,19,3,6
1,39,2,16,1,3,4,21,2,6,1,1,45,4,7
1,50,1,12,4,20,2,27,2,5,6,1,25,2,2
1,57,1,4,3,23,4,2,2,5,3,3,45,2,3
1,55,2,2,2,12,3,1,2,4,1,3,36,4,7
1,42,1,4,2,11,4,9,2,4,3,3,38,2,4
1,68,1,18,1,20,1,46,2,6,4,4,34,4,5
1,49,1,1,2,18,1,10,2,3,3,4,39,3,5
1,59,1,13,4,9,3,12,2,1,6,2,7,4,3
1,42,1,20,2,5,4,38,2,2,1,2,26,2,7
1,29,1,13,1,17,3,18,2,4,4,2,35,3,7
1,47,4,10,2,24,4,17,2,6,4,4,35,4,5
1,40,4,7,2,21,3,30,2,5,6,2,49,3,2
1,41,2,23,4,24,4,18,2,1,3,2,46,4,7
1,21,4,10,2,23,4,16,2,1,3,4,17,4,6
1,69,1,18,2,12,4,15,2,2,1,5,29,4,4
1,63,2,8,3,2,1,13,2,4,2,4,4,4,7
1,50,1,6,3,24,4,3,2,2,5,3,17,4,7
1,55,2,15,2,11,3,28,2,6,3,2,21,4,1
1,30,3,21,1,14,1,18,2,2,1,2,31,3,6
1,33,2,9,3,21,3,48,2,2,6,2,43,2,7
1,65,3,22,1,5,2,5,2,1,2,4,18,4,6
1,65,2,23,2,16,1,46,2,2,6,5,44,4,1
1,31,1,1,1,14,3,35,2,6,6,5,3,4,1
1,45,4,10,3,9,3,24,2,1,3,4,49,4,4
1,57,2,17,3,3,4,41,2,2,4,3,21,3,1
1,48,2,8,1,7,4,27,2,2,5,3,5,4,7
1,22,2,8,2,14,2,5,2,2,5,4,32,4,1
1,36,1,5,3,25,4,25,2,4,5,6,34,2,2
1,18,1,5,2,1,3,20,2,4,3,6,21,2,1
1,48,1,3,2,4,1,47,2,4,1,6,43,2,5
1,49,2,24,3,8,1,19,2,1,5,3,3,4,4
1,64,2,15,2,15,4,41,2,4,1,2,21,2,2
1,50,2,16,1,4,4,11,2,6,1,5,32,4,4
1,22,1,5,3,25,4,11,2,4,4,4,36,3,6
1,50,1,13,2,10,1,7,2,5,1,5,50,4,6
1,38,4,7,2,1,3,44,2,6,6,6,43,2,1
1,19,3,11,4,15,4,8,2,2,3,2,24,3,1
1,67,3,19,3,10,4,25,2,1,5,2,36,2,1
1,19,1,3,1,1,1,20,2,6,6,2,21,4,1
1,36,1,5,2,22,4,28,2,4,2,6,34,4,7
1,52,4,10,1,17,1,48,2,3,2,6,42,4,1
1,53,2,9,2,12,3,17,2,2,4,4,2,4,5
1,24,1,18,3,13,1,9,2,5,6,3,47,3,5
1,52,3,19,2,5,2,26,2,4,6,4,44,3,6
1,33,1,20,2,11,2,40,2,2,1,2,35,3,4
1,47,4,7,4,13,2,2,2,6,4,3,15,3,3
1,25,2,16,3,8,4,30,2,5,5,2,29,2,4
1,44,2,15,1,5,3,30,2,1,2,2,18,4,1
1,61,4,7,2,1,3,28,2,3,6,5,13,4,1
1,37,1,6,2,16,2,45,2,1,2,2,46,4,7
1,58,1,13,1,3,1,9,2,6,1,2,28,4,7
1,37,3,21,3,13,2,15,2,1,1,1,48,3,4
1,32,2,24,1,25,1,11,2,5,5,5,43,3,1
1,21,3,19,2,4,3,25,2,1,3,3,37,4,2
1,20,1,25,4,4,1,8,2,3,4,6,20,2,2
1,26,1,18,4,20,4,15,2,3,5,4,33,3,3
1,62,2,9,2,10,2,43,2,1,5,3,31,2,6
1,27,4,10,4,23,1,14,2,5,5,2,50,4,5
1,51,1,12,3,8,3,32,2,2,4,2,35,4,3
1,54,3,22,3,18,3,16,2,4,4,5,22,4,5
1,55,2,9,3,13,1,42,2,6,6,1,1,4,4
1,69,2,23,2,12,2,8,2,6,4,6,4,3,2
1,64,4,7,3,23,4,6,2,3,2,2,31,3,4
1,28,3,21,3,1,3,10,2,3,4,1,46,3,6
1,70,1,12,3,16,1,1,2,6,4,6,32,3,5
1,58,1,20,2,8,1,5,2,3,4,6,43,2,6
1,56,2,23,2,6,4,8,2,6,2,5,26,4,6
1,26,2,8,3,16,4,39,2,1,1,2,9,5,2
1,37,2,24,2,18,1,45,2,2,1,1,28,4,5
1,44,2,16,3,10,3,46,2,4,4,1,20,3,3
1,70,4,10,1,15,4,39,2,5,3,3,9,3,7
1,53,1,13,2,9,1,40,2,3,2,4,48,3,1
1,55,3,19,1,15,1,25,2,1,1,5,12,3,2
1,50,3,11,3,2,4,43,2,6,5,3,29,4,6
1,50,1,6,3,11,2,21,2,6,6,3,27,4,5
1,38,4,10,2,11,2,40,2,4,5,3,44,4,2
1,64,2,16,3,18,4,16,2,1,5,6,32,4,2
1,19,1,14,2,1,3,25,2,3,2,3,11,4,6
1,40,2,23,3,24,1,36,2,2,6,3,44,4,6
1,57,1,6,3,24,2,13,2,4,1,3,46,3,7
1,44,1,6,2,9,1,9,2,1,4,1,50,3,2
1,49,1,14,2,20,3,2,2,3,4,5,45,3,1
1,43,1,14,3,13,1,18,2,6,3,3,48,3,1
1,24,1,6,2,9,3,18,2,5,4,2,26,4,7
1,20,2,15,2,25,1,2,2,5,2,2,21,4,6
1,24,1,5,4,1,4,35,2,3,6,1,49,4,5
1,44,2,15,3,8,2,21,2,2,4,1,13,3,6
1,28,1,13,3,20,4,29,2,1,2,2,46,3,7
1,30,2,23,2,11,2,17,2,6,6,1,42,4,7
1,52,1,6,2,8,3,1,2,6,4,5,25,2,2
1,43,2,16,3,9,2,28,2,2,3,3,25,4,4
1,43,3,11,2,16,2,49,2,1,5,1,12,4,3
1,39,1,1,2,23,3,30,2,2,1,4,4,3,3
1,68,3,21,2,22,1,31,2,3,1,1,38,4,7
1,68,1,13,2,10,3,20,2,3,3,6,42,4,7
1,49,4,10,2,23,2,45,2,4,3,5,30,3,2
1,63,1,4,3,2,2,23,2,6,6,2,50,3,7
1,56,2,24,2,22,2,25,2,1,1,1,45,4,7
1,37,4,7,3,8,2,7,2,1,1,2,33,3,6
1,30,4,10,2,19,2,15,2,6,3,1,25,2,3
1,19,3,19,2,3,2,46,2,2,5,3,25,3,4
1,24,2,2,2,4,2,15,2,5,2,4,44,4,3
1,52,1,13,1,6,2,31,2,4,2,5,21,4,6
1,63,3,19,2,16,4,3,2,6,6,6,31,3,6
1,37,2,24,2,9,2,40,2,1,3,4,47,2,2
1,38,1,3,2,23,4,11,2,5,1,1,14,3,4
1,35,3,22,3,7,2,2,2,6,2,4,17,4,1
1,28,2,9,3,22,2,14,2,4,4,5,3,4,2
1,30,1,4,1,24,4,30,2,1,5,5,42,4,2
1,69,1,18,2,10,3,23,2,4,2,4,22,3,2
1,41,1,5,2,12,2,32,2,4,4,5,21,3,3
1,63,1,12,1,1,1,29,2,3,1,6,21,4,3
1,35,1,14,2,21,2,15,2,5,2,4,40,4,2
1,36,2,16,1,2,2,12,2,4,4,6,1,3,6
1,25,1,4,4,4,2,24,2,6,2,6,50,4,4
1,58,2,24,2,12,2,42,2,4,3,6,39,3,1
1,27,2,24,2,11,4,28,2,6,1,5,34,4,4
1,65,2,23,2,1,2,14,2,5,5,5,29,3,6
1,54,2,9,2,22,4,2,2,2,3,1,31,3,5
1,54,1,13,2,16,4,25,2,1,2,4,8,3,7
1,59,2,17,1,16,1,11,2,4,1,2,5,2,6
1,42,2,17,1,2,3,21,2,2,3,3,7,2,4
1,46,3,21,4,20,2,11,2,3,3,3,30,4,4
1,33,2,24,2,5,2,22,2,5,5,2,14,4,1
1,34,3,19,2,14,4,13,2,6,5,3,5,3,6
1,27,4,7,1,25,4,9,2,2,2,1,3,3,1
1,52,1,4,2,10,2,40,2,5,3,5,46,2,5
1,29,1,14,2,15,4,25,2,4,3,2,4,3,7
1,54,2,2,2,8,4,7,2,6,4,2,42,3,5
1,25,2,16,2,22,2,47,2,1,2,3,30,3,2
1,41,3,19,3,24,3,12,2,5,5,5,37,3,2
1,53,4,10,3,8,2,32,2,4,4,6,2,2,2
1,53,2,23,3,6,1,42,2,6,4,2,30,2,3
1,21,1,18,3,14,2,49,2,4,4,6,47,3,4
1,61,1,13,3,21,2,3,2,4,6,1,21,4,3
1,64,3,22,2,8,2,4,2,4,3,6,9,4,6
1,51,3,11,3,5,2,43,2,3,3,4,12,3,6
1,32,1,3,2,19,4,39,2,5,4,6,4,4,7
1,38,2,24,4,16,4,5,2,5,3,4,10,2,2
1,58,1,13,4,19,1,26,2,6,6,2,26,3,7
1,32,3,21,3,7,1,47,2,3,5,3,40,3,6
1,46,1,20,4,3,4,33,2,6,3,6,34,4,6
1,39,2,23,1,21,4,6,2,4,2,4,31,2,2
1,19,3,19,1,16,1,20,2,2,3,6,1,3,5
1,50,1,18,2,13,1,22,2,2,5,6,5,3,5
1,36,1,1,2,10,2,16,2,5,4,2,4,4,7
1,65,4,10,4,19,2,19,2,5,1,5,48,3,3
1,64,2,16,2,9,2,41,2,2,1,3,29,3,1
1,46,3,19,3,22,4,7,2,5,5,1,12,2,5
1,36,2,8,1,3,2,14,2,1,2,5,29,3,2
1,51,2,23,2,1,1,15,2,5,5,4,15,3,3
1,51,4,7,2,14,2,8,2,2,1,2,34,4,4
1,38,3,22,2,21,4,36,2,3,4,2,41,3,6
1,59,2,15,2,6,2,30,2,4,6,2,41,3,4
1,57,2,2,2,22,3,41,2,3,2,2,39,4,6
1,54,2,16,4,5,4,3,2,4,5,3,32,3,7
1,25,1,5,1,4,4,35,2,1,4,5,29,3,4
1,69,1,1,1,19,2,15,2,6,1,6,15,4,2
1,57,2,16,3,14,1,7,2,6,5,5,33,2,2
1,70,2,15,1,2,2,19,2,1,4,6,18,3,7
1,24,3,21,2,2,2,48,2,1,3,3,35,4,5
1,67,1,4,2,3,3,47,2,6,2,1,25,3,7
1,24,1,20,3,3,4,33,2,5,1,5,6,4,6
1,62,2,24,2,3,4,50,2,5,5,6,17,2,5
1,57,1,13,2,25,1,33,2,3,3,2,17,4,4
1,55,3,11,1,1,3,6,2,6,3,3,44,3,1
1,45,4,7,3,4,2,12,2,5,6,1,6,3,6
1,69,1,13,3,10,2,43,2,5,6,4,45,4,6
1,67,2,17,3,15,2,25,2,5,5,4,7,4,2
1,30,2,17,3,17,2,9,2,3,3,4,11,4,1
1,24,4,7,3,15,4,47,2,3,4,3,41,4,1
1,62,2,15,1,11,1,46,2,6,6,1,24,2,5
1,43,1,14,3,2,1,39,2,3,1,5,21,3,7
1,35,2,9,2,16,3,32,2,5,4,6,24,3,2
1,28,1,20,1,14,1,2,2,2,3,2,8,2,3
1,32,2,8,2,7,1,9,2,5,1,3,12,3,6
1,39,3,21,1,20,1,48,2,4,5,4,48,3,6
1,28,2,16,4,14,4,23,2,4,3,6,6,4,3
1,47,2,24,4,9,1,8,2,5,6,1,14,4,6
1,20,1,3,2,22,1,40,2,5,1,1,34,4,2
1,63,1,12,1,19,4,43,2,1,1,3,12,2,1
1,25,4,7,2,1,1,22,2,4,4,6,11,3,2
1,29,3,19,3,8,1,28,2,3,1,1,5,3,4
1,50,1,25,2,22,3,50,2,5,2,5,25,4,6
1,18,1,12,2,23,1,42,2,2,3,2,11,2,2
1,70,3,11,1,3,1,26,2,3,4,1,27,4,1
1,66,2,15,3,1,2,41,2,5,2,2,43,4,2
1,28,1,1,2,15,1,27,2,6,6,4,18,3,1
1,54,2,2,3,16,3,47,2,6,5,6,32,4,5
1,19,1,6,4,2,2,48,2,1,4,6,27,4,1
1,20,2,24,1,3,4,43,2,1,4,2,24,3,7
1,43,2,9,2,7,3,46,2,3,1,4,31,3,3
1,38,4,10,3,5,3,14,2,4,4,1,39,3,6
1,50,1,5,2,19,4,44,2,5,3,4,36,3,6
1,64,1,13,2,17,2,26,2,4,1,3,5,4,2
1,49,1,3,3,2,4,12,2,1,5,2,47,2,5
1,47,1,6,4,22,3,1,2,2,1,6,29,3,6
1,36,1,18,2,17,3,11,2,1,1,5,43,4,5
1,55,4,10,3,9,4,8,2,2,3,4,40,4,1
1,25,2,2,2,1,3,21,2,2,6,4,4,2,4
1,53,2,8,1,20,1,34,2,4,6,1,39,4,7
1,49,3,11,3,12,4,50,2,3,4,5,45,3,6
1,35,2,9,4,19,1,9,2,2,5,5,20,3,5
1,29,1,6,4,24,1,1,2,2,2,4,14,4,7
1,47,2,8,2,15,3,35,2,5,5,1,33,4,7
1,53,2,17,1,4,2,38,2,3,2,2,18,4,2
1,33,1,13,3,6,2,18,2,4,5,6,9,4,7
1,21,2,17,4,25,3,40,2,1,2,1,34,2,2
1,32,1,14,2,8,4,11,2,3,1,5,33,3,6
1,52,3,22,3,7,3,32,2,1,6,6,15,4,5
1,67,2,9,2,23,3,19,2,2,3,1,4,3,5
1,43,2,15,2,12,1,10,2,4,1,4,25,4,2
1,58,2,2,4,8,1,43,2,5,5,2,20,4,1
1,20,2,17,2,18,4,16,2,1,5,2,5,4,3
1,61,2,24,1,21,1,5,2,5,5,3,16,2,3
1,32,1,25,2,25,2,13,2,2,2,4,13,2,2
1,38,2,16,1,18,3,1,2,6,6,2,11,3,1
1,21,1,25,3,14,3,2,2,3,2,2,21,4,2
1,37,1,3,2,4,4,47,2,3,4,4,6,3,2
1,27,1,14,2,16,4,44,2,2,3,5,29,4,4
1,36,1,3,1,12,2,31,2,5,3,3,15,3,2
1,32,2,23,2,9,1,37,2,5,6,6,17,3,5
1,51,2,2,3,23,4,13,2,3,5,2,32,3,7
1,64,1,6,2,1,1,10,2,5,6,5,42,3,2
1,68,3,19,2,12,1,20,2,5,3,3,21,2,4
1,68,1,1,2,12,3,20,2,1,4,3,9,3,5
1,33,1,25,4,11,2,14,2,4,1,6,16,4,2
1,65,2,9,4,2,4,10,2,2,5,2,42,4,6
1,48,2,2,2,19,4,34,2,1,6,4,37,4,5
1,69,4,10,1,3,1,14,2,3,5,4,32,4,3
1,59,2,2,2,20,1,10,2,2,5,3,28,3,5
1,48,2,23,4,21,3,25,2,4,5,2,13,4,7
1,25,1,13,4,22,2,43,2,4,5,6,11,3,6
1,29,1,4,2,5,3,20,2,2,3,6,36,3,5
1,57,1,6,2,11,1,47,2,6,5,4,23,3,2
1,23,3,21,3,22,4,22,2,2,2,6,37,4,4
1,45,3,11,1,7,2,1,2,4,6,3,21,4,5
1,38,2,8,4,12,1,32,2,6,2,4,22,2,5
1,21,1,13,2,4,4,6,2,4,6,3,9,3,4
1,32,1,6,1,10,2,1,2,4,4,5,16,3,2
1,63,1,13,2,18,4,26,2,1,2,1,4,3,3
1,29,2,17,4,2,4,21,2,2,5,4,3,4,5
1,27,2,2,3,9,4,7,2,3,3,4,6,2,2
1,56,2,15,3,15,1,11,2,3,6,5,18,3,6
1,30,1,20,2,21,3,23,2,2,6,5,34,3,5
1,49,4,10,2,2,2,8,2,4,6,2,26,4,4
1,58,1,20,2,20,3,31,2,6,2,1,50,3,7
1,57,1,5,4,8,2,11,2,2,4,6,40,3,4
1,60,3,19,2,5,1,41,2,2,1,3,24,4,3
1,69,2,17,2,23,1,24,2,1,5,1,33,2,2
1,70,1,13,2,25,1,46,2,3,3,2,19,4,1
1,53,2,9,2,20,3,16,2,5,3,2,24,2,3
1,25,3,11,1,21,1,19,2,1,6,2,19,4,7
1,48,3,19,4,16,4,11,2,6,2,2,4,4,5
1,69,1,20,2,21,3,10,2,3,2,5,11,4,1
1,25,3,21,2,10,4,35,2,2,4,1,28,3,6
1,29,2,16,2,4,1,44,2,3,3,1,24,4,7
1,46,1,13,2,5,1,35,2,4,2,2,25,3,1
1,37,1,6,3,1,4,11,2,5,5,6,27,3,1
1,20,3,11,2,22,4,34,2,3,4,5,49,3,7
1,40,1,5,2,5,3,34,2,5,4,2,45,3,5
1,60,1,6,2,4,2,41,2,4,6,1,26,3,2
1,26,4,7,1,23,4,14,2,4,5,3,4,3,2
1,29,2,24,2,11,3,45,2,3,1,2,3,3,1
1,66,2,17,2,19,2,10,2,6,2,5,45,3,5
1,66,1,5,2,2,1,6,2,6,2,3,21,4,6
1,56,1,3,2,12,3,1,2,4,2,3,50,4,6
1,69,1,25,3,3,3,50,2,4,3,6,19,4,4
1,38,1,3,3,5,1,39,2,6,4,1,6,3,2
1,42,1,5,2,13,1,12,2,1,5,2,50,3,1
1,30,1,3,2,16,4,46,2,1,3,4,17,3,1
1,66,2,2,4,11,1,33,2,5,5,4,24,4,2
1,36,2,17,2,12,2,2,2,6,1,5,46,3,4
1,58,1,6,3,4,2,16,2,6,2,3,42,4,1
1,45,2,23,2,19,3,43,2,1,2,3,10,2,2
1,47,1,14,4,23,1,29,2,5,2,3,1,2,1
1,66,2,2,3,23,4,49,2,1,2,4,28,4,3
1,41,3,21,3,11,4,12,2,2,1,4,48,4,3
1,41,2,8,1,7,3,27,2,2,2,2,47,3,4
1,66,1,18,2,11,3,27,2,5,4,1,29,3,5
1,37,1,4,2,1,4,40,2,2,2,5,37,4,3
1,70,1,3,2,12,3,12,2,4,1,4,38,4,2
1,62,2,15,2,23,2,46,2,3,3,6,48,3,7
1,61,4,10,2,4,4,44,2,1,1,1,36,3,7
1,48,4,10,2,2,2,45,2,4,1,2,9,2,7
1,70,1,12,1,23,4,9,2,4,6,6,34,2,4
1,46,1,6,2,19,3,14,2,6,5,5,43,3,5
1,31,1,4,3,19,2,45,2,2,3,1,46,3,3
1,19,1,4,2,10,3,8,2,3,6,2,5,2,4
1,39,1,6,2,4,3,38,2,3,2,6,15,4,5
1,41,1,1,2,21,2,49,2,1,4,2,30,2,2
1,20,1,6,3,10,1,34,2,3,2,5,44,3,1
1,36,2,16,1,11,2,50,2,4,5,1,16,4,2
1,32,1,6,2,7,3,17,2,3,6,6,16,4,2
1,69,1,18,2,3,3,39,2,5,5,3,16,3,7
1,40,1,14,2,4,1,35,2,2,6,2,21,3,1
1,40,1,14,3,15,4,46,2,3,5,5,39,3,1
1,20,2,16,1,15,4,41,2,2,3,4,40,4,5
1,64,4,10,2,1,1,21,2,6,4,2,48,2,1
1,27,3,11,2,16,4,7,2,3,4,5,26,4,4
1,24,1,13,2,12,3,25,2,1,2,4,46,4,4
1,48,3,19,1,1,3,40,2,3,4,6,27,4,2
1,49,1,25,3,8,1,17,2,2,4,3,5,4,7
1,36,3,11,3,18,2,34,2,2,3,1,43,3,6
1,56,1,1,2,19,2,30,2,6,1,1,17,2,6
1,37,2,16,2,5,3,48,2,3,6,6,3,3,5
1,42,1,6,2,8,1,21,2,5,6,6,47,2,6
1,28,1,13,2,4,3,8,2,3,2,4,24,3,5
1,27,1,25,4,2,2,28,2,5,4,3,12,4,1
1,63,3,21,3,2,2,15,2,2,3,4,35,4,4
1,58,2,2,1,1,2,35,2,1,1,5,42,3,7
1,37,2,2,4,14,2,34,2,2,6,1,1,4,1
1,56,1,3,3,6,1,9,2,4,2,3,27,3,7
1,18,2,8,2,1,1,22,2,6,2,2,16,4,5
1,48,2,16,4,14,4,6,2,4,5,2,36,3,1
1,31,3,21,2,1,3,20,2,4,3,2,30,3,1
1,51,1,3,2,4,4,50,2,6,2,4,18,3,6
1,65,1,20,2,23,1,9,2,6,1,3,45,2,2
1,53,3,21,2,12,2,28,2,3,1,5,1,3,6
1,55,1,14,3,2,3,45,2,3,1,6,42,3,6
1,62,3,19,3,12,4,14,2,4,1,5,7,3,1
1,55,2,24,4,9,4,16,2,1,2,1,50,3,3
1,64,1,12,2,22,1,7,2,6,3,5,37,3,6
1,52,1,5,4,7,1,27,2,2,3,6,18,2,4
1,24,2,17,2,12,1,32,2,5,2,3,29,4,4
1,38,2,8,2,3,4,33,2,3,3,1,45,3,3
1,59,2,15,2,1,3,34,2,2,5,1,13,3,7
1,27,3,21,1,13,3,23,2,6,6,1,47,3,4
1,24,1,6,3,11,4,35,2,2,2,4,7,3,7
1,23,4,10,3,23,4,14,2,6,5,5,11,4,5
1,69,2,2,1,16,1,26,2,6,3,6,39,5,4
1,59,2,9,2,1,4,32,2,4,2,4,6,4,3
1,51,3,19,1,9,2,30,2,1,5,5,2,4,5
1,63,2,15,2,3,1,29,2,4,2,2,39,4,1
1,54,1,5,3,11,3,9,2,3,4,2,23,4,4
1,32,1,20,1,14,2,1,2,4,6,4,46,4,5
1,39,2,23,4,19,2,42,2,1,3,6,19,3,7
1,66,2,2,3,21,3,29,2,4,3,2,3,3,1
1,28,1,25,2,17,3,2,2,1,3,1,47,3,3
1,50,2,9,1,14,2,16,2,2,2,1,6,2,3
1,70,1,6,2,19,2,2,2,2,6,5,6,4,2
1,67,1,14,1,2,2,16,2,2,4,2,12,2,5
1,64,2,2,3,24,1,13,2,3,5,1,40,3,3
1,45,4,10,3,3,4,20,2,3,3,1,38,4,6
1,22,2,17,2,11,4,36,2,2,3,1,10,2,3
1,27,3,22,3,16,1,25,2,5,2,6,28,4,4
1,25,2,24,2,20,3,19,2,4,6,1,19,3,2
1,37,1,6,3,9,1,6,2,3,2,3,25,4,6
1,26,1,20,4,6,1,3,2,1,4,2,38,3,2
1,33,3,19,3,10,2,12,2,2,2,1,6,4,6
1,43,2,15,2,19,1,14,2,1,3,4,7,4,5
1,37,3,21,3,24,3,50,2,3,3,1,2,4,2
1,46,1,5,1,6,2,30,2,6,2,6,24,3,2
1,22,2,8,2,20,2,18,2,5,1,3,26,3,2
1,20,3,22,1,3,3,1,2,1,1,4,25,4,1
1,60,2,15,3,15,2,3,2,2,6,4,10,3,4
1,39,3,22,2,5,3,41,2,5,1,1,14,4,6
1,43,1,20,3,11,2,32,2,6,2,3,21,4,3
1,31,2,23,3,7,2,2,2,1,5,1,26,3,4
1,19,3,21,2,11,3,9,2,2,4,6,12,4,2
1,35,1,20,2,20,1,11,2,2,3,2,11,4,4
1,41,1,25,1,3,4,30,2,4,2,3,15,3,2
1,52,2,24,2,17,1,10,2,4,5,3,13,4,4
1,45,1,18,4,4,1,23,2,4,4,2,5,3,5
1,34,3,21,3,23,1,5,2,2,5,3,36,3,6
1,35,1,14,2,24,3,6,2,4,6,6,32,3,4
1,29,1,6,3,21,1,25,2,4,6,2,1,4,3
1,59,1,25,2,20,4,37,2,3,5,1,15,2,2
1,24,4,7,2,2,4,29,2,5,3,6,3,3,7
1,70,2,2,1,23,4,9,2,4,1,3,48,4,4
1,29,2,23,3,8,3,40,2,6,3,4,30,2,7
1,67,4,10,2,21,3,24,2,5,5,6,40,2,4
1,36,2,8,3,1,1,34,2,6,1,6,24,3,6
1,23,3,11,3,19,2,18,2,1,1,4,48,4,3
1,18,1,6,3,16,1,4,2,3,2,5,27,3,5
1,53,1,14,1,4,3,41,2,2,1,2,14,3,1
1,32,1,12,1,17,1,23,2,2,1,4,18,3,5
1,38,1,4,2,8,3,21,2,3,2,3,48,3,5
1,47,1,3,2,16,2,6,2,6,3,4,32,3,2
1,46,2,15,3,4,1,8,2,6,3,2,21,3,5
1,66,1,6,2,25,3,4,2,2,2,1,42,4,6
1,40,1,25,1,4,3,14,2,4,3,2,4,3,3
1,43,1,3,2,8,3,13,2,3,5,2,19,4,3
1,58,2,23,3,6,3,4,2,3,3,2,6,4,3
1,21,4,10,4,25,3,40,2,5,1,4,2,2,6
1,42,3,11,2,25,3,36,2,5,6,3,21,4,6
1,24,1,4,2,24,4,28,2,4,3,4,40,3,2
1,43,2,16,3,7,3,42,2,2,3,3,33,3,6
1,47,1,4,1,20,2,19,2,4,1,5,26,3,7
1,49,1,13,2,11,2,5,2,6,3,2,23,3,6
1,50,3,19,3,13,1,32,2,6,3,1,39,4,1
1,51,4,10,4,1,3,1,2,1,4,6,42,3,4
1,40,1,3,3,7,4,27,2,3,1,6,41,4,7
1,45,2,2,2,17,4,17,2,2,4,1,41,2,2
1,52,2,8,2,22,3,44,2,3,5,2,12,4,6
1,62,4,7,2,22,4,3,2,1,1,3,31,3,4
1,20,1,4,4,10,3,32,2,4,3,4,34,3,6
1,43,1,18,2,10,3,45,2,6,2,2,32,4,2
1,29,2,9,2,1,2,37,2,6,3,2,31,3,3
1,22,2,9,2,14,4,47,2,1,1,1,24,3,2
1,48,1,5,2,18,4,2,2,4,3,4,31,4,2
1,42,3,22,2,1,2,44,2,6,2,5,18,4,2
1,19,1,4,2,3,4,16,2,6,3,5,15,4,4
1,60,1,14,1,22,1,36,2,5,2,6,7,3,1
1,32,2,24,2,2,4,15,2,2,4,6,35,3,6
1,26,2,2,3,17,4,8,2,1,6,6,35,2,4
1,25,3,22,3,19,4,24,2,5,3,2,19,2,4
1,66,2,2,2,13,4,25,2,3,5,2,26,4,6
1,45,1,3,2,8,4,15,2,4,5,1,39,3,6
1,54,2,2,4,17,3,7,2,3,4,2,22,2,7
1,37,4,7,1,25,4,46,2,4,4,3,14,3,5
1,54,1,1,4,25,2,41,2,2,3,4,50,3,6
1,50,1,1,1,20,2,23,2,6,6,2,33,4,3
1,25,2,24,2,15,1,50,2,2,4,4,48,4,1
1,47,1,14,3,6,3,22,2,4,6,1,48,4,4
1,63,2,16,3,6,3,10,2,4,2,1,27,3,6
1,64,3,19,3,4,4,30,2,5,3,6,27,3,7
